cq,set,score,read_Flesch_kincaid_grade,read_Coleman_liau,read_Automated_readability,read_Gunning_fog,read_Dale_chall_readability,read_Linsear_write,read_Clauses,relevance_binary,relevance_likert,length,c1_complexity,c1_concepts,c1_properties,c1_relationships,c1_filters,c1_cardinality_hint,c1_aggregation_hint
"What is the start date and end date (or status like 'Indefinite', 'Full Donation') of a specific loan agreement?",5,2,9.5,8.99,11.4,16.02,9.57,13.5,4,Y,4,112,5.0,1,3,0,1,0,0
What is the agreed compensation (if any) for a specific loan?,5,2,7.6,6.82,5.9,11.67,8.49,6.5,2,Y,4,61,6.0,2,1,1,2,0,0
Who is responsible for insurance under a specific loan agreement?,5,2,11.9,13.14,9.9,20.0,10.45,8.0,2,Y,4,65,7.0,3,1,2,1,0,0
Who is responsible for arranging and covering the cost of transport for a specific loan?,5,2,10.3,10.37,9.3,16.67,9.64,11.5,4,Y,4,88,5.0,2,1,1,1,0,0
Is a specific artifact currently on loan? To whom?,5,0,8.0,6.7,5.1,16.93,9.35,6.5,1,Y,4,50,7.0,2,2,1,2,0,0
Which artifacts loaned by Sonia are currently held by the BME?,5,0,6.4,8.45,6.3,11.67,11.36,6.5,2,Y,4,62,10.0,3,2,2,2,1,0
"Which loan agreements are set to expire within the next [time period, e.g., 6 months]?",5,2,6.8,7.24,8.7,11.33,12.8,8.5,1,Y,4,86,4.0,1,1,0,1,1,0
Has an artifact been designated as a 'Full Donation' rather than a loan?,5,2,8.4,7.24,6.8,14.43,9.14,8.5,2,Y,4,72,4.0,1,1,0,1,1,0
What are all the artifacts currently under loan agreements with the BME as the borrower?,5,0,9.1,10.37,9.3,16.67,9.64,11.5,3,Y,4,88,9.0,3,2,1,2,1,0
How can the system represent the relationship between a donor (Sonia) and the artifacts they have loaned?,5,0,9.9,11.77,11.8,13.86,10.98,11.5,2,Y,4,105,6.0,2,1,1,1,1,0
"How can the system represent the status of a loan (e.g., Proposed, Active, Expired, Donated)?a",5,0,6.2,7.79,7.4,8.33,13.48,3.75,1,Y,4,94,2.0,1,1,0,0,0,0
"What information about loaned artifacts should be visible to the donor (Sonia) via the dashboard? (e.g., Loan status, Location within museum, Current condition summary?)",5,0,12.7,14.49,13.2,16.47,15.42,8.5,3,Y,4,169,15.0,5,4,3,2,1,0
How does the system distinguish between artifacts owned outright by the museum and those on loan?,5,0,9.5,11.77,10.7,13.9,10.35,11.0,4,Y,4,97,5.0,1,1,0,2,1,0
"How can Liz retrieve all information (cataloguing, provenance, condition, display, loan) associated with a single artifact added via the loan process?",5,0,16.2,16.71,18.2,19.83,13.7,16.5,2,Y,4,150,9.0,2,5,1,1,0,0
