cq,relevance_score,relevance_rationale
"Was this item ever featured in a significant publication (magazine, book, newspaper)?",3,"The user story explicitly states the goal of capturing the ""history"" and ""significance"" of ""iconic items"" (e.g., Sonia compiles details including ""history, significance""; a question asks ""How will the system capture and store the complex history and significance of iconic items...""). Being featured in a significant publication is a key aspect that contributes to an item's history and establishes its significance, especially for iconic items. While the user story does not list ""publication features"" as an explicit data field in the examples, it is a type of information that can be reasonably inferred, using common sense and domain knowledge, as necessary for comprehensively documenting an iconic item's history and significance. The example data includes ""Associated Works"" (e.g., an album), which is related to publications, further supporting that information about an item's connection to published material is relevant."
Was the item involved in any significant historical events besides performances?,4,"The user story explicitly states that the system must capture the 'history' and 'significance' of iconic items. Furthermore, the 'Example Data' section, which is an integral part of the user story, provides a concrete example under 'Cataloguing information' for 'The Gibson J-160E Guitar' which lists 'Associated Works: ""Please Please Me"" album'. The creation of an album, or an item's involvement in it, is a significant historical event that is distinct from a live performance. The competency question 'Was the item involved in any significant historical events besides performances?' directly addresses the system's capability to store and retrieve this type of historical information, which is explicitly exemplified in the user story's data requirements."
Was an item used during a music performance?,4,"The user story explicitly requires the system to capture detailed cataloguing information for music memorabilia. The 'Example Data' section, provided to 'illustrate the type of information,' includes fields such as 'Associated Works' (e.g., '""Please Please Me"" album') for a guitar and 'Associated Event' (e.g., 'Ziggy Stardust tour') for a stage costume. These examples directly indicate that information about an item's use in music recordings (a form of performance) or live performances (like a tour) is a required piece of data to be captured. The competency question 'Was an item used during a music performance?' directly addresses this explicitly exemplified requirement to document an item's performance history as part of its cataloguing information and overall significance."
Was an item owned by a music artist?,4,"The user story explicitly states that 'provenance' information is collected for each item. The provided 'Example Data' (which is part of the user story) for items like 'David Bowie's Ziggy Stardust Jumpsuit' and 'Handwritten Lyrics for ""Bohemian Rhapsody""' includes fields such as 'Provenance: Originally owned by: David Bowie' and 'Provenance: Originally owned by: Freddie Mercury (or his estate)'. This information directly answers the competency question 'Was an item owned by a music artist?'. Additionally, 'Cataloguing information' includes 'Associated Artists', which is also directly relevant. The requirement to capture such details is therefore explicitly expressed."
Was an item produced by a music artist?,4,"The user story, particularly in its ""Example Data"" section, explicitly shows that information about the creator/producer of an item is to be captured. For instance, the example ""Handwritten Lyrics for 'Bohemian Rhapsody'"" includes the detail ""by Freddie Mercury"" in its description. Since Freddie Mercury is a music artist, this demonstrates an explicit requirement for the system to store information that directly answers whether an item was produced by a music artist. The system is designed to capture ""cataloguing information"" and ""provenance,"" and identifying the producer (who in this case is a music artist) is a fundamental part of this explicitly illustrated requirement."
Was an item used by a music artist?,4,"The user story, particularly in its ""Example Data"" section, explicitly lists ""Associated Artists"" as a key piece of cataloguing information for music memorabilia (e.g., ""Associated Artists: John Lennon, George Harrison"" for the Gibson J-160E Guitar; ""Associated Artist: David Bowie"" for the Ziggy Stardust Jumpsuit). The competency question ""Was an item used by a music artist?"" directly addresses the need to capture this specific information, as knowing this is essential for identifying and recording the associated artists."
Which music releases are associated to a given item?,4,"The user story, particularly in the 'Example Data' section, explicitly details the type of information to be captured for items. For 'The Gibson J-160E Guitar,' under 'Cataloguing information,' it lists 'Associated Works: ""Please Please Me"" album'. An album is a form of music release. Similarly, for the 'Handwritten Lyrics for ""Bohemian Rhapsody"",' the 'Associated Work' is the song '""Bohemian Rhapsody"",' which is intrinsically linked to a music release. Therefore, the competency question directly addresses a requirement explicitly expressed through these examples within the user story."
Which events are associated to a given item?,4,"The user story, specifically in the 'Example Data' section for 'David Bowie's Ziggy Stardust Jumpsuit,' explicitly lists 'Associated Event: Ziggy Stardust tour (year)' as a piece of information to be captured for an item. The competency question 'Which events are associated to a given item?' directly addresses the need to retrieve this explicitly mentioned type of information."
Which music performances are associated to an item?,4,"The user story, through its ""Example Data"" section, explicitly lists ""Associated Event: Ziggy Stardust tour"" and ""Associated Works: 'Please Please Me' album"" as part of the ""Cataloguing information"" for items like the 'Ziggy Stardust Jumpsuit' and 'The Gibson J-160E Guitar'. A tour is a series of music performances, and an album is a collection of recorded music performances. The user story states that this type of information needs to be captured and managed. Therefore, the competency question about which music performances are associated with an item addresses a requirement explicitly expressed in the user story."
Which music works are associated to an item?,4,"The user story's ""Example Data"" section explicitly lists ""Associated Works"" as part of the ""Cataloguing information"" for items (e.g., The Gibson J-160E Guitar is associated with the ""Please Please Me"" album, and the Handwritten Lyrics are associated with the ""Bohemian Rhapsody"" song). The competency question ""Which music works are associated to an item?"" directly addresses the need to retrieve this explicitly mentioned piece of information."
Which music artists are associated to an item?,4,"The user story explicitly mentions that 'cataloguing information' is collected for each item. The 'Example Data' section, which is part of the user story, provides concrete examples of this cataloguing information, such as 'Associated Artists: John Lennon, George Harrison' for the Gibson J-160E Guitar, 'Associated Artist: David Bowie' for the jumpsuit, and 'Associated Artist: Queen' for the handwritten lyrics. The competency question 'Which music artists are associated to an item?' directly addresses this explicitly stated requirement to capture and store information about associated music artists for an item."
Are there any copyright restrictions on the multimedia files?,3,"The user story explicitly mentions that Sonia provides ""multimedia content (images, videos, audio recordings, when available)"" as part of the item details. For the museum to effectively use this multimedia content to ""enrich the museum's knowledge base"" and facilitate ""knowledge exchange,"" understanding any copyright restrictions is essential. This requirement can be inferred using common sense and domain knowledge regarding museum practices, intellectual property rights, and the responsible use of digital assets. Information about usage rights, including copyright, is a standard consideration when incorporating such materials into a collection or knowledge system."
What is the resolution or quality of each multimedia file?,3,"The user story states that Sonia provides 'multimedia content (images, videos, audio recordings, when available)' and that the system supports 'automatic generation of metadata to enrich the museum's knowledge base' and ensures 'accurate documentation'. Knowing the resolution or quality of multimedia files is a fundamental and standard piece of metadata for such files. This information is crucial for the museum to understand the usability (e.g., for display, print, research), archival value, and preservation needs of the multimedia content. Therefore, the requirement to capture resolution or quality can be inferred from the user story using common sense (understanding the utility of a digital file often depends on its quality) and domain knowledge (museums and archives routinely capture technical metadata for digital assets)."
What is the format of each multimedia file?,3,"The user story explicitly states that Sonia provides ""multimedia content (images, videos, audio recordings, when available)"" (Scenario section) and a key goal is ""automatic generation of metadata to enrich the museum's knowledge base"" (Goal section). For the system to effectively manage, process, display, or perform automatic metadata generation on these multimedia files, it is essential to know their format (e.g., JPEG, MP4, MP3). This requirement is directly inferable using common sense and fundamental domain knowledge in digital asset management and information systems, as knowing the file format is a prerequisite for any meaningful interaction with multimedia content within the described system."
Give me all the videos associated to a given item,4,"The user story explicitly states that 'multimedia content (images, videos, audio recordings, when available)' is part of the item details compiled by the donor (Sonia) and 'accurately captured within the system' by the manager (Liz) to enrich the museum's knowledge base. The competency question 'Give me all the videos associated to a given item' directly addresses the requirement to access and retrieve this explicitly mentioned type of multimedia content that the system is designed to capture and manage for knowledge exchange purposes."
Give me all the audio recordings associated to a given item,4,"The user story explicitly states in the scenario that Sonia, the donor, compiles details of the items including 'multimedia content (images, videos, audio recordings, when available)'. It also mentions that Liz, the manager, 'diligently ensures that all the details provided by Sonia are accurately captured within the system.' Therefore, the system is required to handle audio recordings. The competency question 'Give me all the audio recordings associated to a given item' directly addresses the need to retrieve this explicitly mentioned and captured data."
Which is the primary image of the item if available?,3,"The user story states that Sonia provides 'multimedia content (images, videos, audio recordings, when available)' for her items. The use of 'images' (plural) implies that an item can have multiple images. In systems designed to showcase items and provide overviews (as described for the museum's knowledge base and Sonia's dashboard access), it is a common and sensible practice to designate one image as 'primary' for display and identification if multiple images are available. Therefore, the competency question about identifying the primary image addresses a requirement that can be inferred from the user story using common sense and domain knowledge about digital asset management and collection display."
Give me all the images associated to a given item,4,"The user story explicitly states that item details include 'multimedia content (images...)' which are 'accurately captured within the system'. Additionally, it mentions the system should facilitate 'upload[ing] photographs' for condition reports. The competency question 'Give me all the images associated to a given item' directly addresses the requirement to access this explicitly mentioned and captured data. Retrieving data that is explicitly stated to be stored and managed by the system is a fundamental aspect of the requirements expressed in the user story."
To which specific period or era does this item belong?,4,"The user story explicitly states that the system will capture 'cataloguing information' and 'provenance.' The provided 'Example Data' section, which illustrates the 'level of detail' the system must accommodate, includes fields like 'Associated Works: ""Please Please Me"" album (and other early Beatles recordings)' and 'Associated Event: Ziggy Stardust tour (year)'. This type of information directly defines or allows for the determination of the specific period or era to which an item belongs. Therefore, the competency question addresses a requirement to access information that is explicitly part of the data the system is designed to manage."
To which music genres can this item be associated?,3,"The user story aims to capture comprehensive details about music memorabilia for the BME's knowledge base, explicitly mentioning ""cataloguing information"" and ""metadata generation."" Music genre is a fundamental aspect of cataloguing music-related artifacts, especially for a museum dedicated to ""British music heritage."" While not explicitly listed as a field in the examples, it's strongly inferable from the context (music museum, music memorabilia) and from explicitly mentioned fields like ""Associated Artists"" and ""Associated Works"" (e.g., John Lennon's work implies rock/pop genres). Knowing the genre is crucial for understanding an item's significance and enriching the knowledge base, aligning with the user story's goals. Therefore, the competency question addresses a requirement that can be inferred using common sense and domain knowledge about musicology and museum practices."
Are there any items in the collection related to this item?,4,"The user story states the goal is to 'enrich the museum's knowledge base' and explicitly details that 'Cataloguing information,' including relational attributes like 'Associated Artists' and 'Associated Works,' will be captured for each item (as shown in the example data). A 'knowledge base,' by its nature, is designed to store not just data but also the relationships between data points, and to make these relationships queryable. The competency question 'Are there any items in the collection related to this item?' directly asks about this fundamental capability: to query the relationships (e.g., shared artist, shared work) that are explicitly defined by the captured data. Therefore, the ability to find related items is an explicit requirement for the system to function as an 'enriched knowledge base' as described in the user story, utilizing explicitly mentioned data types."
Is this item part of a larger set?,3,"The user story emphasizes comprehensive artifact documentation, knowledge exchange, and the generation of rich metadata for the museum's knowledge base. It explicitly mentions capturing 'cataloguing information'. In museum and collections management (domain knowledge), identifying whether an item is part of a larger set (e.g., a pair, a series, items from the same original collection or event) is a fundamental aspect of cataloguing. This information contributes significantly to an item's context, history, and significance, which the user story aims to capture. Therefore, the competency question addresses a requirement that can be inferred from the user story using common sense and domain knowledge about museum practices."
What is the caption of the item that is displayed at the museum?,3,"The user story specifies that Sonia wants to 'showcase her items' and is 'passionate about sharing her collection with the public.' The system is designed for 'knowledge exchange' and to capture detailed 'artifact documentation,' including 'cataloguing information' (e.g., type, description, associated artists/works) and 'significance.' Common sense and museum domain knowledge dictate that items displayed to the public are accompanied by captions or labels that convey such information. The user story also mentions the system should 'provide a clear, organised way to track and communicate this information.' Therefore, the ability for the system to provide the content for a caption for a displayed item is a requirement that can be inferred from the user story."
What is the main textual description associated to an item?,4,"The user story, through its 'Example Data' section, explicitly shows that items have a 'Description' field as part of their 'Cataloguing information' (e.g., for David Bowie's Jumpsuit: 'Description: One-piece jumpsuit...' and for Handwritten Lyrics: 'Description: Handwritten lyrics...'). This 'Description' field directly corresponds to the 'main textual description' sought by the competency question. The user story further states, 'These examples demonstrate the range of information that needs to be captured and managed... The new system should be able to accommodate this level of detail,' making the example data an explicit requirement."
What is the name or title of an item?,4,"The user story explicitly lists example items with names/titles (e.g., 'The Gibson J-160E Guitar', 'David Bowie's Ziggy Stardust Jumpsuit'). The system is designed to manage these 'iconic items' and capture 'cataloguing information' for them, which inherently includes their name or title."
What is the broad category of an item?,4,"The user story explicitly states that 'Type' is a piece of cataloguing information collected for each item, as shown in the 'Example Data' (e.g., 'Type: Acoustic-electric guitar', 'Type: Stage costume', 'Type: Manuscript'). The competency question 'What is the broad category of an item?' directly corresponds to this 'Type' information, which serves as a broad category. The story also mentions, '...others are more specific to their type (e.g. the brand and type of a guitar),' reinforcing the explicit requirement to capture an item's type or category."
What is the duration of each audio or video recording?,3,"The user story states that Sonia provides ""multimedia content (images, videos, audio recordings, when available)"" as part of the item details, and a key goal is the ""automatic generation of metadata"" for the museum's knowledge base. The duration of an audio or video recording is a fundamental and standard piece of metadata for such content types. While the user story does not explicitly list ""duration"" as a required metadata field, the need to capture or generate this information is strongly inferable through common sense and domain knowledge regarding the cataloging and management of multimedia assets. Therefore, the competency question addresses a requirement that can be inferred from the user story."
Which colours are associate to the item?,3,"The user story emphasizes capturing 'cataloguing information' and 'description' for artifacts, aiming to 'enrich the museum's knowledge base' with 'comprehensive information.' While 'colour' is not explicitly listed as a distinct attribute in the provided examples, it is a fundamental descriptive characteristic for many physical items (e.g., costumes, instruments). Domain knowledge of museum cataloguing and common sense would infer that colour is a relevant piece of information to be captured as part of an item's detailed description or general cataloguing data, especially for visually distinct items like 'David Bowie's Ziggy Stardust Jumpsuit' which includes a 'lightning bolt motif'."
Was an item involved in the creative process of a work?,4,"The user story explicitly states that 'Cataloguing information' includes 'Associated Works.' The provided examples for 'Associated Works,' such as 'The Gibson J-160E Guitar: Associated Works: ""Please Please Me"" album (and other early Beatles recordings)' and 'Handwritten Lyrics for ""Bohemian Rhapsody"": Associated Work: ""Bohemian Rhapsody"" song,' directly illustrate items involved in the creative process of musical works. The competency question asks whether this specific type of information (involvement in the creative process) can be determined, which is directly supported by the explicitly mentioned data to be captured. The system's goal to capture the 'history' and 'significance' of items further reinforces this, as creative involvement is a key aspect of an item's significance."
Which instrument was used by a music artist?,4,"The user story explicitly states that ""cataloguing information"" is collected for each item. The provided ""Example Data"" for ""The Gibson J-160E Guitar"" (an instrument) includes ""Associated Artists: John Lennon, George Harrison"" as part of its cataloguing information. The competency question ""Which instrument was used by a music artist?"" directly queries this type of information, which the system is explicitly required to capture and manage as demonstrated by the example data."
 Which manuscripts was written by a music artist?,4,"The user story explicitly includes 'Handwritten Lyrics for ""Bohemian Rhapsody""' as an example item, for which the 'Cataloguing information' specifies 'Type: Manuscript'. The description for this item also explicitly states it was 'by Freddie Mercury,' who is a music artist, and 'Associated Artist: Queen' is also listed. The user story mandates the system to capture 'cataloguing information,' and these specific details (item type, writer, association with a music artist) are explicitly provided as examples of data to be captured. Therefore, the competency question asks to retrieve and filter information based on data points that the user story explicitly states the system must handle and store within its knowledge base."
 What security measures do I need to display an item?,4,"The user story explicitly states that 'Display Requirements' are captured for each item when Liz adds it to the knowledge base. The 'Example Data' section provides concrete examples of these display requirements, which include specific 'Security' measures for each item (e.g., 'Security: 24/7 security monitoring,' 'Security: High-level security measures, including alarms and CCTV'). The competency question 'What security measures do I need to display an item?' directly addresses this explicitly mentioned requirement."
Which item require no direct lighting exposure?,4,"The user story explicitly states that 'display requirements' (including lighting, as shown in examples like 'Indirect, low-level lighting' which implies no direct exposure) are collected for each item. Furthermore, the user story includes the question, 'Will the system record the display requirements and care instructions for each item, ensuring its proper handling and preservation?'. The competency question directly addresses this by asking to identify items based on a specific lighting requirement ('no direct lighting exposure'), which is a crucial piece of information for ensuring their proper handling and preservation. Querying the knowledge base for items with specific care needs is a direct way to fulfill the explicitly stated requirement of using this recorded information for preservation purposes."
What is the loan start date of an item to the British Music Experience?,4,"The user story explicitly mentions 'loan agreement' as a key piece of information to be managed (Keywords, Scenario). Furthermore, the 'Example Data' section provides a concrete example of a 'Loan Agreement' for an item loaned to the 'British Music Experience (BME)' which includes the attribute 'Loan Start Date'. The story states the system should 'accommodate this level of detail'. Therefore, the competency question addresses a requirement explicitly expressed in the user story."
Find items in good condition,4,"The user story explicitly mentions 'condition reporting' as a keyword in the Goal and includes the question, 'How will the system facilitate the creation of condition reports...?'. The example data explicitly lists 'Condition' as an attribute with 'good' as a possible value (e.g., 'General condition: Excellent (or fair, good, etc.)'). The competency question 'Find items in good condition' directly addresses a capability required to facilitate such condition reporting, as identifying items based on their specific condition (like 'good') is a fundamental aspect of generating meaningful condition reports. Therefore, the CQ addresses a requirement that is explicitly expressed through the need for condition reporting and the defined data structure for condition."
Find items with a (specific) loan start date?,3,"The user story explicitly states that 'Loan Agreement' information, including 'Loan Start Date' (as shown in example data), is captured by the system. It also states that Sonia (donor) can 'maintain an ongoing overview of her loaned items, including the status of loan agreements.' The competency question 'Find items with a (specific) loan start date?' directly supports this overview capability. While the specific search/filter functionality by loan start date isn't verbatim in the user story, it is a standard and common-sense inference for a system that manages dated agreements and aims to provide an overview of them. Thus, it's inferred using common sense and domain knowledge."
Which are the display requirements of an item? ,4,"The user story explicitly mentions 'display requirements' multiple times. Firstly, in the scenario description, it states: 'When adding a new item to the collection, various information of the artefact is collected, including: cataloguing information, provenance, condition, display requirements, loan agreements, etc.' Secondly, the 'Example Data' section provides detailed 'Display Requirements' for each example item. Thirdly, one of the concluding 'Questions' in the user story is: 'Will the system record the display requirements and care instructions for each item, ensuring its proper handling and preservation?' The competency question directly addresses this explicitly stated need."
How many costumes are in the collection?,3,"The user story describes a system for creating a knowledge base of loaned items, including their 'cataloguing information'. The example data explicitly includes an item with 'Type: Stage costume'. A fundamental capability of a knowledge base that stores item types is to allow querying for counts of items by type. Therefore, the competency question 'How many costumes are in the collection?' addresses a requirement that can be inferred using common sense and domain knowledge about museum knowledge bases and collection management systems. It's a basic query that utilizes the cataloged information for understanding the collection's composition, which aligns with the goal of enriching the museum's knowledge base."
How many items are in the collection?,3,"The user story states that Sonia will have an 'ongoing overview of her loaned items' via a dashboard. Common sense and typical dashboard/collection management functionalities suggest that knowing the total number of items is a fundamental part of such an overview. It is also a basic query for a system designed to 'track' and manage a 'collection' of items, as described for Liz's use when she 'systematically add[s] each item to the knowledge base'. Therefore, the capability to determine 'how many items are in the collection' is inferable from the user story using common sense and domain knowledge."
Which guitar was used by John Lennon?,4,"The user story, through its ""Example Data"" section, explicitly states that ""Associated Artists"" (e.g., ""John Lennon"" for ""The Gibson J-160E Guitar"") is a piece of ""Cataloguing information"" that the system needs to capture and manage. The competency question ""Which guitar was used by John Lennon?"" directly tests the system's ability to retrieve an item based on this explicitly defined data attribute. The user story's goal to ""enrich the museum's knowledge base"" further implies that such stored information should be accessible and queryable. Therefore, the ability to answer this question is a requirement directly and explicitly supported by the user story's specifications for data capture and its intended function as a knowledge base."
Which manuscripts require no direct lighting exposure?,4,"The user story explicitly states that 'display requirements' are collected for each item (e.g., 'When adding a new item to the collection, various information of the artefact is collected, including: ... display requirements'). Furthermore, the example data for 'Handwritten Lyrics for ""Bohemian Rhapsody""' (a manuscript) specifies 'Lighting: Low-level, indirect lighting.' The competency question 'Which manuscripts require no direct lighting exposure?' directly asks to retrieve items based on this type of recorded information. 'No direct lighting exposure' is a direct interpretation or a very close synonym of 'indirect lighting.' The user story also includes the question, 'Will the system record the display requirements and care instructions for each item, ensuring its proper handling and preservation?', implying that this recorded information must be usable for such purposes, which includes querying. Therefore, the CQ addresses a requirement explicitly covered by the user story's scope and examples."
Who acquired an item?,4,The user story explicitly states that 'provenance' information is collected when adding an item. The provided example data for each item under the 'Provenance' section includes details like 'Acquired by Sonia: (Date and method of acquisition)'. The competency question 'Who acquired an item?' directly addresses this explicitly stated requirement to capture who acquired the item as part of its provenance.
Who acquired the Ziggy Stardust Jumpsuit?,4,"The user story explicitly states that 'provenance' information is collected for each item when it's added to the knowledge base. The example data provided for 'David Bowie's Ziggy Stardust Jumpsuit' (the specific item mentioned in the competency question) includes a 'Provenance' section with fields like 'Originally owned by: David Bowie' and 'Acquired by Sonia: (Date and method of acquisition)'. These pieces of information directly answer the competency question 'Who acquired the Ziggy Stardust Jumpsuit?'. Therefore, the competency question addresses a requirement that is explicitly expressed in the user story."
Who acquired the Gibson J-160E?,4,"The user story explicitly states that 'provenance' information is collected for artifacts. The provided 'Example Data' for 'The Gibson J-160E Guitar' includes specific fields under 'Provenance' such as 'Originally purchased by: (Original owner, if known)' and 'Acquired by Sonia: (Date and method of acquisition)'. The competency question 'Who acquired the Gibson J-160E?' directly addresses the need to retrieve this explicitly mentioned provenance information."
Does an insurer provide insurance for an item?,4,"The user story explicitly states that 'Loan Agreement' information is collected, and the 'Example Data' section provides concrete examples of loan agreements. All three examples under 'Loan Agreement' include a specific entry for 'Insurance' (e.g., 'Insurance: BME to provide insurance for the full value of the guitar,' 'Insurance: V&A to provide insurance...', 'Insurance: Covered by the Rock & Roll Hall of Fame's permanent collection insurance.'). The competency question 'Does an insurer provide insurance for an item?' directly addresses this explicitly mentioned 'Insurance' aspect of the loan agreement. The system is required to capture this level of detail about insurance, which would enable answering whether an insurer is involved."
What is the name of an experiment step?,1,"The user story focuses on documenting and managing museum artifacts, including their cataloguing information, provenance, condition, display requirements, and loan agreements. The concept of an 'experiment step' and its name is not mentioned, nor can it be inferred from the described goals of knowledge exchange, metadata generation for artifacts, or the specific data examples provided. It appears to be an additional requirement outside the scope of the user story."
Does the Rock & Roll Hall of Fame provide insurance for the handwritten lyrics?,4,"The user story's 'Example Data' section for 'Handwritten Lyrics for ""Bohemian Rhapsody""' explicitly states under 'Loan Agreement' that the 'Borrower: Rock & Roll Hall of Fame' and 'Insurance: Covered by the Rock & Roll Hall of Fame's permanent collection insurance.' The competency question directly asks about this specific piece of information, which is explicitly provided as an example of data the system should handle."
Does the British Music Experience provide insurance for the Gibson J-160E?,4,"The user story, within its 'Example Data' section for 'The Gibson J-160E Guitar,' explicitly states under 'Loan Agreement' that 'Insurance: BME to provide insurance for the full value of the guitar.' The competency question directly asks about this specific piece of information, which is an example of data the system must handle."
How many years does the loan agreement cover the Ziggy Stardust Jumpsuit?,4,"The user story explicitly states that ""loan agreements"" are captured as part of the artifact documentation (Goal, Scenario: ""When adding a new item... various information... is collected, including: ... loan agreements""). The example data provided for loan agreements includes ""Loan Start Date"" and ""Loan End Date,"" and for one item (the Gibson J-160E Guitar), it explicitly mentions the duration in years (e.g., ""Loan End Date: 2027-12-03 (3 years)""). The competency question asks for this specific piece of information (duration in years) for an item (the Ziggy Stardust Jumpsuit, which has ""Loan End Date: Indefinite (or specific date...)""), which the system is explicitly designed to store and manage as part of the loan agreement details. Therefore, the ability to determine the loan duration in years is an explicitly expressed requirement."
How many years does the loan agreement cover an item?,4,"The user story explicitly mentions 'loan agreements' as part of the information to be captured. The 'Example Data' section, which details the information to be managed, provides a concrete example for 'The Gibson J-160E Guitar' under 'Loan Agreement' that includes 'Loan Start Date: 2024-12-03' and 'Loan End Date: 2027-12-03 (3 years)'. The parenthetical '(3 years)' directly addresses the competency question about the duration of the loan agreement in years. Therefore, the requirement is explicitly expressed in the user story."
Find manuscripts associated with a music artist,4,"The user story, through its ""Example Data"" (specifically Example 3: ""Handwritten Lyrics for 'Bohemian Rhapsody'""), explicitly states that the system will capture and manage items of ""Type: Manuscript"" and their ""Associated Artist"" (e.g., ""Queen""). The story further specifies that ""The new system should be able to ... provide a clear, organised way to track and communicate this information."" The competency question ""Find manuscripts associated with a music artist"" directly addresses this explicit requirement by describing a fundamental way to access and thereby ""communicate"" this specific, explicitly mentioned information (manuscripts and their associated artists) from the knowledge base. The ""find"" operation is a direct method to fulfill the requirement of communicating the documented details."
Find an item associated with a music artist,4,"The user story explicitly states, through its 'Example Data' section, that 'Associated Artists' (e.g., 'Associated Artists: John Lennon, George Harrison' for the Gibson guitar) is a key piece of 'Cataloguing information' that is captured for each music memorabilia item. The system is designed to be a 'knowledge base' to store and manage this information. The ability to 'Find an item associated with a music artist' is a fundamental query capability required for such a knowledge base to be functional and to fulfill the goal of enriching this knowledge base with detailed metadata. Therefore, the competency question addresses a requirement that is explicitly supported by the data attributes and system type defined in the user story."
Find stage costumes associated with David Bowie.,3,"The user story explicitly details that cataloguing information, including ""Type"" (with ""Stage costume"" as an example) and ""Associated Artist"" (with ""David Bowie"" as an example), will be captured and stored in the museum's knowledge base (as shown in Example Data 2). While the user story does not contain an explicit statement that the system must allow searching by these specific criteria, the ability to query a knowledge base by its stored attributes is a fundamental requirement that can be readily inferred using common sense and domain knowledge about information systems and museum collections. Such a search capability is essential for the described ""knowledge exchange"" and for the ""knowledge base"" to be useful."
Do the display requirements have stable values of temperature and humidity?,4,"The user story explicitly states that 'display requirements' are collected for artifacts. The 'Example Data' section, which is part of the user story, provides concrete examples where 'stable temperature and humidity' (for lyrics), 'climate-controlled environment with humidity control' (for a jumpsuit), and 'climate-controlled display case' (for a guitar) are listed under 'Display Requirements'. The competency question directly addresses whether display requirements include stable values for temperature and humidity, a detail explicitly shown and therefore required by the user story. Additionally, one of the questions at the end of the user story asks, 'Will the system record the display requirements and care instructions for each item...?', further emphasizing the need to capture such details."
Do the display requirements have climate-controlled values of humidity control?,4,"The user story explicitly states that 'display requirements' are collected for each item. The 'Example Data' section, which illustrates the 'level of detail' the system must accommodate, provides explicit examples of display requirements involving humidity control: for David Bowie's Jumpsuit, 'Environment: Climate-controlled environment with humidity control,' and for Handwritten Lyrics, 'Environment: Stable temperature and humidity.' The competency question asks if the system can capture 'climate-controlled values of humidity control' as part of display requirements. This is explicitly supported by the examples, as 'humidity control' and 'stable humidity' imply specific conditions or values. The user story also includes the question, 'Will the system record the display requirements and care instructions for each item, ensuring its proper handling and preservation?', reinforcing the need to capture such specific environmental parameters."
Do the display requirements have climate-controlled values of lighting?,3,"The user story explicitly lists ""Display Requirements"" and provides examples such as ""Lighting: Low-level, UV-filtered lighting"" and ""Environment: Climate-controlled environment"". The competency question asks if these display requirements include ""climate-controlled values of lighting"". While specific lighting parameters (""low-level"", ""UV-filtered"") are explicitly mentioned as data to be captured under display requirements, the interpretation that these specific lighting parameters are ""climate-controlled values"" relies on domain knowledge. In museum contexts, controlling light levels and UV content is a form of environmental control for preservation, which aligns with the concept of ""climate control"". The user story also mentions that display requirements ensure ""proper handling and preservation"", supporting this inference. However, the direct assertion that *lighting values* are ""climate-controlled"" is not explicitly stated in the user story, making it an inferred requirement rather than an explicitly expressed one."
Do the display requirements have specific values of lighting?,4,"The user story explicitly states that 'display requirements' are collected when adding a new item. Furthermore, the 'Example Data' section provides concrete examples of display requirements for artifacts, which include specific values for 'Lighting' (e.g., 'Low-level, UV-filtered lighting' for the Gibson J-160E Guitar, 'Indirect, low-level lighting' for David Bowie's jumpsuit). Therefore, the competency question directly addresses a requirement explicitly expressed and exemplified in the user story."
Do the display requirements have specific values of humidity control?,4,"The user story explicitly states that ""display requirements"" are to be recorded for artifacts (e.g., in the scenario: ""When adding a new item to the collection, various information of the artefact is collected, including: ... display requirements...""). The provided ""Example Data"" section further clarifies this by explicitly listing ""Environment: Climate-controlled environment with humidity control"" (for David Bowie's Jumpsuit) and ""Environment: Stable temperature and humidity"" (for Handwritten Lyrics) as examples under ""Display Requirements."" The competency question, ""Do the display requirements have specific values of humidity control?"", directly addresses the necessary detail (i.e., specific values) for these explicitly mentioned aspects of display requirements. For the system to fulfill the related goal of ""ensuring its proper handling and preservation"" (mentioned in the Questions section of the user story), capturing specific values for humidity control is an inherent part of meaningfully recording ""humidity control"" or ""stable humidity."""
Which museum borrowed an item on loan?,4,"The user story explicitly states that 'loan agreements' are captured as part of the information for an item. The 'Example Data' section, which is an integral part of the user story, provides concrete examples of loan agreements. Each of these examples includes a 'Borrower' field that specifies the museum that borrowed the item (e.g., 'Borrower: British Music Experience (BME)', 'Borrower: Victoria and Albert Museum (V&A)', 'Borrower: Rock & Roll Hall of Fame'). The competency question 'Which museum borrowed an item on loan?' directly asks for this explicitly mentioned and exemplified piece of information."
Which museum borrowed the Gibson J-160E on loan?,4,"The user story explicitly states that the system will capture 'loan agreements' (Scenario). The provided 'Example Data' for the 'Gibson J-160E' under 'Loan Agreement' includes the field 'Borrower: British Music Experience (BME)'. The competency question directly asks for this specific piece of information, which the system is explicitly designed to store. Furthermore, one of the 'Questions' in the user story is 'How will the system track the movement of loaned items between different museums and exhibitions...', which directly implies the system must know which museum has borrowed an item."
 Which are the associated events of the Ziggy Stardust Jumpsuit?,4,"The user story explicitly states that 'cataloguing information' is collected for items. The 'Example Data' provided within the user story for 'David Bowie's Ziggy Stardust Jumpsuit' specifically includes 'Associated Event: Ziggy Stardust tour (year)' as part of its cataloguing information. The competency question directly asks to retrieve this specific piece of information, which the system, as described by the user story and its examples, is required to store and make accessible."
